NO CUT STREET OUTLYING AREAS,SECTION,COMPLETED
AZTEC WAY,CHIKASAW WAY to DESERT INN ROAD,Pending Bid
CAYUGA PARKWAY,ONEIDA WAY to DESERT INN ROAD,Pending Bid
CHEROKEE LANE,ALGONQUIN DRIVE to SPENCER STREET,Pending Bid
CHIKASAW,CAYUGA PARKWAY to AZTEC WAY,Pending Bid
CHIPPEWA CIRCLE,CHIPPEWA DRIVE to 165’ S OF CHIPPEWA DRIVE,Pending Bid
CHIPPEWA DRIVE,SIOUX WAY to NAHATAN WAY,Pending Bid
COCHISE LANE,GERONIMO WAY to 320’ N OF TIOGA WAY,Pending Bid
COMMANCHE CIRCLE,COMMANCHE DRIVE to 135’ N OF COMMANCHE DRIVE,Pending Bid
COMMANCHE DRIVE,NAKONA LANE to SPENCER STREET,Pending Bid
DAKOTA WAY,SENECA DRIVE to 535’ N OF SENECA DRIVE,Pending Bid
DELAWARE LANE,MOHIGAN WAY to VIKING ROAD,Pending Bid
GERONIMO WAY,215’ W OF COCHISE LANE to TIOGA WAY,Pending Bid
HOOPA LANE,MOHIGAN WAY to VIKING ROAD,Pending Bid
MARICOPA WAY,CHEROKEE LANE to 430’ N OF CHEROKEE LANE,Pending Bid
MOHIGAN WAY,VIKING ROAD to EASTERN AVENUE,Pending Bid
NAHATAN WAY,PAWNEE DRIVE to SPENCER STREET,Pending Bid
NAKONA LANE,PAWNEE DRIVE to COMMANCHE DRIVE,Pending Bid
OMAHA CIRCLE,MOHIGAN WAY to 190’ S OF MOHIGAN WAY,Pending Bid
ONEIDA WAY,DESERT INN ROAD to PAWNEE DRIVE,Pending Bid
OSAGE CIRCLE,MOHIGAN WAY to 150’ S OF MOHIGAN WAY,Pending Bid
OTTAWA CIRCLE,OTTAWA DRIVE to 450’ N OF OTTAWA DRIVE,Pending Bid
OTTAWA DRIVE,130’ W OF ALGONQUIN DRIVE to 1500’ E OF SPENCER STREET,Pending Bid
PAPAGO LANE,SPENCER STREET to VIKING ROAD,Pending Bid
PAWNEE CIRCLE,PAWNEE DRIVE to 165’ N OF PAWNEE DRIVE,Pending Bid
PAWNEE DRIVE,ONEIDA WAY to DESERT INN ROAD,Pending Bid
PIMA LANE,MOHIGAN WAY to 250’ S OF MOHIGAN WAY,Pending Bid
PUEBLO CIRCLE,PUEBLO WAY to 250’ W OF PUEBLO CIRCLE,Pending Bid
PUEBLO WAY,215’ N OF PUEBLO CIRCLE to EASTERN AVENUE,Pending Bid
SEMINOLE CIRCLE,DESERT INN ROAD to 225’ S OF DESERT INN ROAD,Pending Bid
SENECA CIRCLE,OTTAWA DRIVE to 160’ S OF OTTAWA DRIVE,Pending Bid
SENECA DRIVE,SPENCER STREET to DESERT INN ROAD,Pending Bid
SENECA LANE,OTTAWA DRIVE to SPENCER STREET,Pending Bid
SIOUX WAY,AZTEC WAY to COMMANCHE DRIVE,Pending Bid
SPENCER STREET,NAHATAN WAY to TWAIN AVENUE,Pending Bid
TIOGA WAY,COCHISE LANE to EASTERN AVENUE,Pending Bid
TONA CIRCLE,PUEBLO WAY to 175’ W OF PUEBLO WAY,Pending Bid
YUMA CIRCLE,DESERT INN ROAD to 275’ S OF DESERT INN ROAD,Pending Bid
ZUNI CIRCLE,DESERT INN ROAD to 250’ S OF DESERT INN ROAD,Pending Bid
AVIANCE COURT,SEASONS AVENUE to 180’S SEASONS AVENUE,Under Construction
BAYWOOD AVENUE,REDWOOD STREET to TEMPE STREET,Under Construction
BOXWOOD LANE,BAYWOOD AVENUE to TEMPE STREET,Under Construction
BRIGHT SIDE LANE,GAZE LANE to WALNUT ROAD,Under Construction
BRIGHT STAR COURT,SOUTHERN LIGHT DRIVE to 115'E SOUTHERN LIGHT DRIVE,Under Construction
CAPSULE DRIVE,PLANETARY LANE to GAZE LANE,Under Construction
CARRERA CIRCLE,CARRERA DRIVE to 170’N CARRERA DRIVE,Under Construction
CARRERA DRIVE,MARGARITA WAY to GINA PLACE,Under Construction
CASA LINDA DRIVE,RAINBOW BOULEVARD to TORREY PINES,Under Construction
CASA WAY,LARCHWOOD LANE to SPRING MOUNTAIN ROAD,Under Construction
CLOUD NINE LANE,SOUTHERN LIGHT to NORTHERN LIGHT,Under Construction
DANA WAY,CARRERA DRIVE to CASA LINDA DRIVE,Under Construction
GAZE LANE,CAPSULE DRIVE to SPHERE DRIVE,Under Construction
GINA PLACE,CARRERA DRIVE to CASA LINDA DRIVE,Under Construction
GLOW DRIVE,PLANETARY LANE to CAPSULE DRIVE,Under Construction
HARVEST SEASON COURT,SEASONS AVENUE to 175’S SEASONS AVENUE,Under Construction
LARCHWOOD LANE,MORAGA DRIVE to REDWOOD STREET,Under Construction
LARCHWOOD LANE,ROSEWOOD STREET to TEMPE STREET,Under Construction
MARGARITA WAY,CASA LINDA DRIVE to CARRERA DRIVE,Under Construction
MCLEOD DRIVE,MORNING SPRINGS DRIVE to SEASONS AVENUE,Under Construction
MORAGA DRIVE,REDWOOD SREET to LARCHWOOD LANE,Under Construction
MOUNTAINWOOD LANE,ROSEWOOD STREET to TEMPE STREET,Under Construction
NORTHERN LIGHT DRIVE,CLOUD NINE LANE to SEVENTH HEAVEN LANE,Under Construction
NORTHERN LIGHT DRIVE,SEVENTH HEAVEN to SOUTHERN LIGHT,Under Construction
OPERA SEASON COURT,SEASONS AVENUE to 120'S SEASONS AVENUE,Under Construction
PEBBLE VIEW COURT,SEASONS AVENUE to 180'S SEASONS AVENUE,Under Construction
PLANETARY LANE,GLOW DRIVE to CAPSULE DRIVE,Under Construction
RADIANCE COURT,SEASONS AVENUE to 180'S SEASONS AVENUE,Under Construction
RAINY SEASON STREET,SEASONS AVENUE to 130'S SEASONS AVENUE,Under Construction
REDWOOD CIRCLE,REDWOOD STREET to 120’W REDWOOD STREET,Under Construction
REDWOOD STREET,CASA LINDA DRIVE to SPRING MOUNTAIN ROAD,Under Construction
REDWOOD STREET,TWAIN AVENUE to CASA LINDA DRIVE,Under Construction
ROSEWOOD DRIVE,CASA LINDA to LARCHWOOD,Under Construction
SEASONS AVENUE,TOPAZ STREET to MCLEOD DRIVE,Under Construction
SEVENTH HEAVEN LANE,SOUTHERN LIGHT to NORTHERN LIGHT,Under Construction
SHIMMER LANE,NORTHERN LIGHT DRIVE to CAPSULE DRIE,Under Construction
SOUTHERN LIGHT DRIVE,SEVENTH HEAVEN DRIVE to WALNUT ROAD,Under Construction
SOUTHERN LIGHT DRIVE,CLOUD NINE to SEVENTH HEAVEN,Under Construction
SPHERE DRIVE,CAPSULE DRIVE to GAZE LANE,Under Construction
TEMPE STREET,BAYWOOD AVENUE to LARCHWOOD LANE,Under Construction
TOPAZ STREET,SEASONS AVENUE to 370'N CELEBRATE COURT,Under Construction
HITE LANE,BARR AVENUE to SCOTTIE,Under Construction
CHURCHFIELD BLVD,EUREKA to JONES,Under Construction
CARMINE ST,HARMON to 105'N VIRIDINE,Under Construction
CHOCOLATE ST,ZONE to 350'N ZONE,Under Construction
VELURE ST,ZONE to CINNAMON,Under Construction
VIRIDINE CT,330'W CARMINE to CARMINE,Under Construction
ZONE AVE,TWILIGHT to VELURE,Under Construction
CARMELITA CIR,DEL MARINO to 345'S DEL MARINO,Under Construction
DEL MARINO ST,MOJAVE to PECOS,Under Construction
EL CEDRO CIR,DEL MARINO to 290'S DEL MARINO,Under Construction
EL ROBEL CIR,DEL MARINO to 195'S DEL MARINO,Under Construction
PECOS RD,DESERT INN to PECOS WAY,Under Construction
ROSARIO CIR,PECOS to 410'W PECOS,Under Construction
BUHL CT,DUNEVILLE to 370'W DUNEVILLE,Under Construction
COOLCREST CT,SADDLE to 200'N SADDLE,Under Construction
DUNEVILLE ST,SADDLE to 320'N SADDLE,Under Construction
DUNEVILLE ST,VIKING to 320’N KATIE,Under Construction
DUNEVILLE CT,DUNEVILLE to 390'W DUNEVILLE,Under Construction
GLORY CT,SADDLE to 200'N SADDLE,Under Construction
KATIE AVE,160'E MOONGATE to LINDELL,Under Construction
KEYSTONE CT,SADDLE to 200'N SADDLE,Under Construction
LEISURE LA,405'S KATIE to KATIE,Under Construction
